회사명,연봉,경력,공고제목,등록일,마감일,인원수
포인드주식회사,"연봉3,270만원이상",경력2년,포인드(주)인공지능·딥러닝개발자채용(경력),등록일:2025-06-12,마감일:2025-07-12,21.0
포인드주식회사,"연봉3,270만원이상",경력2년,포인드(주)인공지능·딥러닝개발자채용(경력),등록일:2025-06-12,마감일:2025-07-12,21.0
유에스소프트(USSOFT),"연봉3,000만원~5,000만원",경력1년,웹.앱백엔드개발자경력모집합니다.,등록일:2025-06-10,마감일:2025-07-31,
한국디지탈콘트롤(주),"연봉3,360만원~5,000만원",경력무관,AI기반빌딩자동제어및수처리제어시스템및인버터및모터시험...,등록일:2025-06-10,마감일:2025-08-08,20.0
주식회사에이아이웍스(AIWORKXInc.),"연봉3,240만원이상",경력1년,[경남창원인근군부대]AI데이터구축작업자채용,등록일:2025-06-10,마감일:2025-08-08,
(주)두일이앤씨,"연봉3,500만원이상",경력무관,위험물점검팀구인,등록일:2025-06-09,마감일:2025-08-08,5.0
주식회사캐치잇플레이,"연봉4,000만원~6,000만원",경력5년,AI교육플랫폼-시니어서비스기획자(재택근무가능),등록일:2025-06-09,마감일:2025-08-05,7.0
주식회사캐치잇플레이,"연봉4,000만원~6,000만원",경력5년,AI교육플랫폼-시니어서비스기획자(재택근무가능),등록일:2025-06-09,마감일:2025-08-05,7.0
주식회사캐치잇플레이,"연봉4,000만원~6,000만원",경력5년,AI교육플랫폼-웹프론트엔드개발자(재택근무가능),등록일:2025-06-09,마감일:2025-08-05,7.0
주식회사캐치잇플레이,"연봉4,000만원~6,000만원",경력5년,AI교육플랫폼-웹프론트엔드개발자(재택근무가능),등록일:2025-06-09,마감일:2025-08-05,7.0
주식회사시대의영웅,"연봉2,800만원~3,000만원",경력무관,"S/W개발자(웹엔지니어·웹프로그래머,Java,JavaScr...",등록일:2025-06-04,마감일:2025-08-03,5.0
(주）오토시스,"연봉4,000만원~6,000만원",경력3년,제어계측분야회로및펌웨어개발,등록일:2025-06-04,마감일:2025-08-02,10.0
(주)에이아이서비스,"연봉4,000만원이상",경력1년,[경남]삼성중공업내품질검사원경력직모집(MT),등록일:2025-05-30,마감일:2025-07-29,86.0
주식회사화이트폭스,상여별도100%,경력1년,Ai개발자모집,등록일:2025-05-30,마감일:2025-07-28,14.0
주식회사소프트웨어융합연구소,"연봉3,000만원~3,000만원",경력무관,AI기술지원신입및경력정규인원모집,등록일:2025-05-28,마감일:2025-07-27,5.0
에이아이엑스코리아(주),"연봉2,600만원~5,000만원",경력3년,열의있는프로그램개발자모집,등록일:2025-05-23,마감일:2025-07-22,2.0
(주)에임드바이오,"연봉3,800만원이상",경력무관,항제개발Scientist모집,등록일:2025-05-21,마감일:2025-07-19,41.0
주식회사트리비젼,상여별도10%,경력3년,머신비젼S/W개발자모집,등록일:2025-05-20,마감일:2025-07-12,9.0
주식회사와이매틱스도곡지점,"연봉3,500만원~7,000만원",경력무관,AI응용엔지니어/백엔드개발자채용,등록일:2025-05-16,마감일:2025-07-14,6.0
주식회사이음아이씨티,"연봉3,000만원~5,000만원",경력2년,"전기계측제어관련(PLC,S/W,ICT)인력채용",등록일:2025-05-14,마감일:2025-07-12,8.0
