회사명,연봉,경력,공고제목,등록일,마감일
주식회사지에이치에스네트웍스,월급240만원~260만원,경력3년,"GHS네트웍스경력경영지원사무원(총무,경리등)공고",등록일:2025-07-10,마감일:2025-07-24
충청북도장애인체육회,월급258만원이상,경력2년,충청북도장애인체육회장애인생활체육지도자운영팀장(대체근로)공개채용...,등록일:2025-07-10,마감일:2025-07-21
(주)광명연마,"연봉4,800만원~4,800만원",경력5년,"영업,생산관리직",등록일:2025-07-10,마감일:2025-07-31
"정운테크주식회사(JUNGWOONTECHCo.,Ltd.)",월급220만원~240만원,경력1년,사무직사원모집합니다.,등록일:2025-07-10,마감일:2025-07-19
충북개인택시운송사업조합,월급210만원이상,신입,사무직원모집,등록일:2025-07-10,마감일:2025-07-20
파주시민요양원,상여별도600%,경력1년,파주시민요양원에서사무원모집합니다.,등록일:2025-07-10,마감일:2025-07-26
대구해바라기센터（아동）,월급220만원이상,신입,대구해바라기센터(아동)행정원채용긴급공고,등록일:2025-07-10,마감일:2025-07-14
법무법인(유한)정인,월급213만원이상,신입,법률사무보조원,등록일:2025-07-10,마감일:2025-09-09
주식회사사이니지솔루션,월급215만원~215만원,경력무관,(주)사이니지솔루션사무및회계지원채용-채용대행서비스,등록일:2025-07-10,마감일:2025-09-09
신구미개발(주),"연봉2,700만원~2,800만원",경력무관,구미컨트리클럽직원모집공고,등록일:2025-07-10,마감일:2025-08-08
주식회사삼성라코스산업안전,"연봉3,000만원~3,000만원",경력무관,온라인판매고객상담접수및사무보조담당채용,등록일:2025-07-10,마감일:2025-07-24
주식회사와이투어앤골프,"연봉2,600만원~2,800만원",경력2년,경영지원팀HR담당자경력직채용,등록일:2025-07-10,마감일:2025-08-10
협성화학섬유(주),월급250만원이상,경력무관,단순사무업무직원모집(1년기간제계약직근로자구인),등록일:2025-07-10,마감일:2025-09-09
