iter	MultiClass
0	1.104096927
1	0.9141189634
2	0.7730283967
3	0.6630345568
4	0.5743410291
5	0.501217041
6	0.439922993
7	0.3877263518
8	0.3429459906
9	0.3044463822
10	0.2709153014
11	0.2416055363
12	0.2158184197
13	0.1932336342
14	0.1732039917
15	0.155388057
16	0.1396222883
17	0.1255691269
18	0.1130391732
19	0.1018323919
20	0.0918477776
21	0.08288342783
22	0.07484371157
23	0.06759325868
24	0.06109639446
25	0.05526221343
26	0.05003105681
27	0.04534761653
28	0.04109076792
29	0.0372709425
30	0.03380590968
31	0.03069340918
32	0.02785715803
33	0.02534147226
34	0.02302715705
35	0.0209569196
36	0.01907700214
37	0.01740184442
38	0.01590745502
39	0.01453603624
40	0.01329074429
41	0.01215089634
42	0.01111793732
43	0.01018226478
44	0.009339006614
45	0.008602670595
46	0.007923478569
47	0.007320509253
48	0.00675297419
49	0.006227484953
50	0.005755830919
51	0.005325325084
52	0.004948431025
53	0.004591422314
54	0.004275228198
55	0.003989729275
56	0.003760645259
57	0.003540674892
58	0.003342141899
59	0.003207017817
60	0.003008168609
61	0.002830402868
62	0.002668447067
63	0.002535528845
64	0.002451462475
65	0.002342711294
66	0.002257015023
67	0.002164667457
68	0.002062450449
69	0.001992597695
70	0.001894768849
71	0.001802794126
72	0.001747549289
73	0.00166879599
74	0.001606684242
75	0.001535134417
76	0.001473274299
77	0.001437173085
78	0.001388833337
79	0.001348743051
80	0.001306730599
81	0.001267789621
82	0.001220653157
83	0.001197841484
84	0.001168069606
85	0.001148293602
86	0.001119839844
87	0.001088922128
88	0.001064396034
89	0.001053101443
90	0.001031101936
91	0.001002754314
92	0.000982274543
93	0.0009627518015
94	0.0009347562261
95	0.000923075305
96	0.000902312416
97	0.0008830152499
98	0.0008677820316
99	0.0008584247746
100	0.000841024592
101	0.0008245222243
102	0.0008136661033
103	0.0007936916942
104	0.0007857341459
105	0.0007763441192
106	0.0007648818915
107	0.0007501959689
108	0.0007382890701
109	0.0007264527792
110	0.0007104207376
111	0.0006953307994
112	0.000685771729
113	0.0006763921501
114	0.000670562432
115	0.0006596431177
116	0.0006477880822
117	0.0006388970492
118	0.0006387835285
119	0.0006297813338
120	0.0006198390099
121	0.0006102202784
122	0.0006015877733
123	0.0005954768797
124	0.0005866988548
125	0.0005813380041
126	0.0005739572632
127	0.0005663438615
128	0.0005609978004
129	0.0005534373011
130	0.0005457592225
131	0.0005369911846
132	0.0005328116163
133	0.000526288691
134	0.0005211145176
135	0.0005165930704
136	0.0005112214095
137	0.0005069310245
138	0.000503472197
139	0.0004976724809
140	0.0004936866111
141	0.0004892242123
142	0.0004837624257
143	0.0004765247129
144	0.0004717866255
145	0.0004679460772
146	0.0004620649682
147	0.0004571792628
148	0.0004541636542
149	0.0004501341193
150	0.0004474983502
151	0.0004425670356
152	0.0004375653461
153	0.0004333435064
154	0.0004287715
155	0.0004251305474
156	0.0004205938022
157	0.0004173851646
158	0.0004144028995
159	0.0004109671735
160	0.0004076261115
161	0.0004033329892
162	0.000400548179
163	0.0003957890979
164	0.000392414035
165	0.0003903183304
166	0.0003866692028
167	0.0003832680817
168	0.0003796205017
169	0.0003768434393
170	0.0003737294709
171	0.000370946472
172	0.0003676828109
173	0.0003661184326
174	0.0003648560549
175	0.0003620058504
176	0.0003586635976
