광역시도,시군구,선거인수,투표수,이재명,김문수,이준석,electionSum,electionRatio
경상북도,영천시,87894,69766,14223,51359,3209,68791,98.6
경상북도,상주시,81951,65682,14270,46856,3496,64622,98.39
경상북도,문경시,59787,47655,10266,34287,2337,46890,98.39
경상북도,예천군,46657,38177,10039,25065,2336,37440,98.07
경상북도,경산시,232652,182130,44160,120563,14420,179143,98.36
경상북도,청도군,37770,30244,6045,22480,1273,29798,98.53
경상북도,고령군,27768,22163,4130,16684,990,21804,98.38
경상북도,성주군,38236,31647,5989,23775,1416,31180,98.52
경상북도,칠곡군,92234,69654,18246,45689,4605,68540,98.4
경상북도,의성군,45733,37276,6725,28522,1442,36689,98.43
경상북도,청송군,22070,18250,3789,13348,797,17934,98.27
경상북도,영양군,14161,11615,2848,8104,484,11436,98.46
경상북도,영덕군,30579,24558,4407,18780,972,24159,98.38
경상북도,봉화군,26412,21210,5248,14719,888,20855,98.33
경상북도,울진군,41362,32830,7327,23129,1859,32315,98.43
경상남도,창원시의창구,181085,144279,54737,74483,12091,141311,97.94
경상남도,창원시성산구,208940,171376,69874,80619,16676,167169,97.55
경상남도,창원시마산합포구,154518,121931,40797,70653,8305,119755,98.22
경상남도,창원시마산회원구,156251,125065,43522,70165,9012,122699,98.11
경상남도,창원시진해구,157266,122023,49732,60152,9813,119697,98.09
경상남도,진주시,289796,231564,80491,127358,19197,227046,98.05
경상남도,통영시,102203,79149,27921,45078,4765,77764,98.25
경상남도,고성군,43287,33580,10744,20573,1662,32979,98.21
경상남도,사천시,94356,73114,25242,41495,4949,71686,98.05
경상남도,김해시,448630,347546,164796,147543,28524,340863,98.08
경상남도,밀양시,90650,69757,23125,41676,3783,68584,98.32
경상남도,거제시,192259,146586,69037,63490,10928,143455,97.86
경상남도,의령군,23294,18214,5421,11559,832,17812,97.79
경상남도,함안군,51990,40601,13802,23755,2275,39832,98.11
경상남도,창녕군,50638,38724,11013,25310,1760,38083,98.34
경상남도,양산시,303506,236806,105053,109649,17859,232561,98.21
경상남도,하동군,37540,30092,10904,17035,1492,29431,97.8
경상남도,남해군,36504,28758,9931,16808,1377,28116,97.77
경상남도,함양군,32702,25848,8489,15503,1321,25313,97.93
경상남도,산청군,30968,24668,7478,15548,1130,24156,97.92
경상남도,거창군,52316,41373,12623,25259,2640,40522,97.94
경상남도,합천군,37329,28935,7001,20132,1188,28321,97.88
제주특별자치도,제주시,409912,306685,169119,102224,27522,298865,97.45
제주특별자치도,서귀포시,155343,114891,59610,43066,9387,112063,97.54
