해당일,시간대,압구정로11길,잠원로상단,잠원로하단
20230601,0,35.44444444444440,23.5,25.125
20230601,1,36.0,21.6,21.4
20230601,2,36.0,26.8,25.2
20230601,3,36.0,22.0,27.6
20230601,4,36.0,33.333333333333300,24.333333333333300
20230601,5,36.0,24.375,21.625
20230601,6,25.0,27.25,23.0
20230601,7,18.6,26.8,22.6
20230601,8,17.375,27.75,22.75
20230601,9,17.2,24.8,22.8
20230601,10,18.0,26.6,21.0
20230601,11,17.0,27.2,20.8
20230601,12,17.3,33.0,21.2
20230601,13,18.0,33.6,20.4
20230601,14,14.333333333333300,30.333333333333300,21.666666666666700
20230601,15,12.38888888888890,27.0,20.75
20230601,16,12.375,28.75,20.25
20230601,17,15.0,27.6,20.4
20230601,18,13.875,33.75,17.75
20230601,19,13.2,29.8,18.0
20230601,20,22.833333333333300,33.2,23.8
20230601,21,26.6,24.4,20.2
20230601,22,30.6,22.2,23.4
20230601,23,31.2,20.4,22.6
20230602,0,35.44444444444440,22.666666666666700,21.77777777777780
20230602,1,36.0,28.8,18.2
20230602,2,35.6,25.0,13.0
20230602,3,35.8,30.2,21.4
20230602,4,35.166666666666700,24.5,23.833333333333300
20230602,5,35.44444444444440,19.666666666666700,20.77777777777780
20230602,6,25.6,24.25,22.0
20230602,7,22.0,23.2,31.2
20230602,8,17.75,28.75,25.0
20230602,9,12.0,29.2,21.8
20230602,10,12.0,29.666666666666700,21.666666666666700
20230602,11,11.666666666666700,25.8,20.4
20230602,12,12.7,26.0,21.4
20230602,13,11.0,28.4,20.0
20230602,14,10.0,27.4,20.6
20230602,15,11.38888888888890,23.333333333333300,16.0
20230602,16,17.0,22.25,19.75
20230602,17,16.2,24.0,20.4
20230602,18,12.25,24.0,19.5
20230602,19,15.25,29.25,18.5
20230602,20,20.0,33.0,22.0
20230602,21,14.333333333333300,28.4,20.6
20230602,22,13.7,22.6,18.8
20230602,23,18.0,23.4,23.6
20230603,0,34.333333333333300,24.666666666666700,30.0
20230603,1,36.0,32.4,20.2
20230603,2,36.0,27.8,18.4
20230603,3,36.0,26.4,26.0
20230603,4,36.0,21.0,23.6
20230603,5,35.77777777777780,26.88888888888890,18.88888888888890
20230603,6,22.0,25.75,21.0
20230603,7,19.0,21.8,21.0
20230603,8,19.0,24.25,22.25
20230603,9,19.0,20.5,19.75
20230603,10,18.0,22.833333333333300,20.5
20230603,11,16.0,25.6,20.4
20230603,12,16.0,29.0,21.0
20230603,13,16.0,26.4,20.4
20230603,14,16.2,23.8,20.6
20230603,15,17.0,26.88888888888890,20.88888888888890
20230603,16,16.2,27.4,21.0
20230603,17,15.8,25.4,20.4
20230603,18,17.0,25.0,20.5
20230603,19,13.5,30.25,22.0
20230603,20,19.833333333333300,26.666666666666700,22.5
20230603,21,25.4,22.4,23.8
20230603,22,29.4,24.4,19.6
20230603,23,30.0,22.8,25.2
20230604,0,34.0,29.0,29.333333333333300
20230604,1,36.0,23.0,24.0
20230604,2,36.0,21.0,21.333333333333300
20230604,3,36.0,27.0,24.0
20230604,4,36.0,28.333333333333300,21.333333333333300
20230604,5,36.0,31.666666666666700,18.666666666666700
20230604,6,25.5,33.0,17.666666666666700
20230604,7,13.75,25.0,39.0
20230604,8,14.0,23.666666666666700,20.333333333333300
20230604,9,14.0,23.333333333333300,21.0
20230604,10,19.5,27.0,23.5
20230604,11,18.5,29.5,27.0
20230604,12,11.0,31.666666666666700,24.0
20230604,13,10.5,28.0,21.666666666666700
20230604,14,10.5,35.333333333333300,22.666666666666700
20230604,15,13.875,29.5,22.5
20230604,16,16.0,31.0,21.5
20230604,17,13.0,30.5,20.5
20230604,18,13.5,31.666666666666700,21.0
20230604,19,11.0,30.333333333333300,21.0
20230604,20,7.0,31.0,21.5
20230604,21,17.0,24.0,20.0
20230604,22,13.5,25.5,23.75
20230604,23,16.5,31.5,29.0
20230605,0,34.888888888888900,33.333333333333300,25.555555555555600
20230605,1,36.0,33.0,20.8
20230605,2,36.0,25.8,26.8
20230605,3,36.0,27.0,29.0
20230605,4,36.0,31.4,15.0
20230605,5,34.666666666666700,19.444444444444400,22.444444444444400
20230605,6,28.2,23.25,20.75
20230605,7,20.2,25.6,27.6
20230605,8,13.0,30.75,23.5
20230605,9,11.25,25.75,24.0
20230605,10,16.0,30.333333333333300,21.5
20230605,11,17.0,30.0,20.2
20230605,12,15.4,31.2,20.6
20230605,13,15.25,32.8,21.6
20230605,14,17.0,30.6,22.2
20230605,15,16.0625,24.125,20.625
20230605,16,13.1,26.0,20.8
20230605,17,12.8,30.8,20.0
20230605,18,14.0,31.8,19.8
20230605,19,16.5,33.0,19.25
20230605,20,22.333333333333300,31.5,18.5
20230605,21,27.1,23.0,21.2
20230605,22,30.5,25.0,19.0
20230605,23,31.0,20.333333333333300,27.166666666666700
20230606,0,35.44444444444440,26.77777777777780,28.11111111111110
20230606,1,36.0,26.2,26.6
20230606,2,36.0,19.8,28.4
20230606,3,35.2,29.4,19.4
20230606,4,36.0,29.0,24.2
20230606,5,35.55555555555560,28.0,18.77777777777780
20230606,6,27.8,28.4,18.6
20230606,7,24.4,21.0,23.4
20230606,8,20.0,24.75,25.5
20230606,9,14.5,24.75,24.0
20230606,10,18.833333333333300,22.833333333333300,23.333333333333300
20230606,11,14.4,25.6,25.4
20230606,12,13.4,28.8,24.0
20230606,13,15.0,26.166666666666700,21.0
20230606,14,12.833333333333300,26.4,20.6
20230606,15,11.625,26.875,13.125
20230606,16,11.6,29.6,20.0
20230606,17,23.5,29.25,22.25
20230606,18,35.0,29.8,21.4
20230606,19,18.4,30.4,19.8
20230606,20,9.75,32.833333333333300,22.333333333333300
20230606,21,18.666666666666700,24.6,26.6
20230606,22,12.25,26.0,21.75
20230606,23,24.0,28.6,23.0
20230607,0,33.77777777777780,19.444444444444400,23.666666666666700
20230607,1,36.0,29.8,19.4
20230607,2,36.0,34.2,14.4
20230607,3,35.6,23.0,24.0
20230607,4,35.2,31.2,33.0
20230607,5,36.0,24.0,24.25
20230607,6,26.6,27.2,23.8
20230607,7,20.2,29.4,27.4
20230607,8,16.8,27.5,23.5
20230607,9,17.6,26.75,21.5
20230607,10,21.333333333333300,26.5,22.5
20230607,11,14.8,27.8,21.6
20230607,12,15.5,28.75,22.0
20230607,13,14.333333333333300,29.833333333333300,22.0
20230607,14,13.5,31.0,22.5
20230607,15,15.777777777777800,32.125,21.5
20230607,16,17.0,27.0,20.2
20230607,17,17.0,24.5,21.5
20230607,18,17.0,24.0,19.5
20230607,19,17.2,26.6,19.2
20230607,20,20.0,26.6,19.8
20230607,21,25.833333333333300,29.666666666666700,19.833333333333300
20230607,22,30.4,25.4,28.5
20230607,23,31.0,20.8,22.2
20230608,0,35.44444444444440,24.88888888888890,18.11111111111110
20230608,1,36.0,25.2,21.0
20230608,2,36.0,27.6,20.0
20230608,3,36.0,25.6,21.4
20230608,4,36.0,32.8,24.0
20230608,5,36.0,35.5,19.875
20230608,6,24.6,24.8,34.6
20230608,7,19.6,23.0,24.8
20230608,8,19.4,28.2,23.8
20230608,9,20.0,28.25,22.0
20230608,10,20.0,25.5,23.166666666666700
20230608,11,16.7,30.8,21.2
20230608,12,15.5,25.25,21.5
20230608,13,14.5,31.2,18.8
20230608,14,11.0,29.166666666666700,20.333333333333300
20230608,15,13.777777777777800,27.444444444444400,20.22222222222220
20230608,16,24.0,25.6,20.2
20230608,17,19.6,25.25,22.75
20230608,18,16.375,28.5,18.75
20230608,19,18.0,27.6,20.8
20230608,20,23.0,30.8,19.8
20230608,21,27.0,25.4,21.2
20230608,22,30.6,23.2,23.4
20230608,23,31.4,21.0,16.6
20230609,0,35.44444444444440,20.88888888888890,24.333333333333300
20230609,1,36.0,26.0,23.6
20230609,2,35.6,37.0,44.0
20230609,3,35.833333333333300,37.0,44.0
20230609,4,35.0,27.8,29.2
20230609,5,35.375,22.0,19.25
20230609,6,24.9,22.0,14.0
20230609,7,22.0,22.0,14.0
20230609,8,18.7,22.6,15.0
20230609,9,12.5,25.2,22.0
20230609,10,12.5,31.0,21.0
20230609,11,12.166666666666700,31.0,21.0
20230609,12,13.125,26.0,21.0
