"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-003","망원1주차장","13910","1475062","2025/05"
"PLT-005","뚝섬2주차장","30927","5403306","2025/05"
"PLT-009","반포1주차장","32050","2680235","2025/05"
"PLT-005","뚝섬3주차장","16698","2064175","2025/05"
"PLT-007","양화2주차장","2552","276150","2025/05"
"PLT-008","여의도5주차장","9504","2254752","2025/05"
"PLT-006","광나루1,2주차장","23205","2300963","2025/05"
"PLT-005","뚝섬1주차장","8572","788855","2025/05"
"PLT-004","이촌2주차장","10406","1091473","2025/05"
"PLT-010","잠원1주차장","20785","1770779","2025/05"
"PLT-005","뚝섬4주차장","24226","2510614","2025/05"
"PLT-009","반포2,3주차장","105707","12335101","2025/05"
"PLT-002","난지1,2,3,4주차장","69328","4712417","2025/05"
"PLT-010","잠원1주차장","19602","1648907","2025/04"
"PLT-011","잠실2,3주차장","19399","2411546","2025/04"
"PLT-010","잠원2-6주차장","59576","6590876","2025/04"
"PLT-007","양화2주차장","2269","241867","2025/04"
"PLT-007","양화1주차장","10128","1133121","2025/04"
"PLT-005","뚝섬2주차장","25541","4017961","2025/04"
"PLT-006","광나루4주차장","8205","495941","2025/04"
"PLT-006","광나루3주차장","15396","1215263","2025/04"
"PLT-008","여의도3주차장","59883","12060916","2025/04"
"PLT-004","이촌2주차장","8925","971896","2025/04"
"PLT-005","뚝섬3주차장","15287","1734261","2025/04"
"PLT-003","망원1주차장","12471","1365020","2025/04"
"PLT-005","뚝섬1주차장","7638","594385","2025/04"
"PLT-007","양화3주차장","27998","2860549","2025/04"
"PLT-008","여의도2주차장","56332","4775034","2025/04"
"PLT-005","뚝섬4주차장","22938","2327436","2025/04"
"PLT-011","잠실1주차장","59748","2660566","2025/04"
"PLT-008","여의도1주차장","81959","11720259","2025/04"
"PLT-008","여의도4주차장","7221","1600814","2025/04"
"PLT-009","반포1주차장","25049","1863646","2025/04"
"PLT-004","이촌1주차장","6643","459908","2025/04"
"PLT-006","광나루1,2주차장","19773","1835096","2025/04"
"PLT-004","이촌3주차장","30421","3108924","2025/04"
"PLT-003","망원2주차장","29790","2589314","2025/04"
"PLT-001","강서1주차장","6825","491459","2025/04"
"PLT-002","난지1,2,3주차장","12312","685512","2025/04"
"PLT-002","난지1,2,3,4주차장","48258","3123651","2025/04"
"PLT-009","반포2,3주차장","89397","9023871","2025/04"
"PLT-003","망원2,3주차장","6228","511028","2025/04"
"PLT-008","여의도5주차장","10920","2539338","2025/04"
"PLT-001","강서1주차장","5961","413252","2025/03"
"PLT-007","양화2주차장","1798","176725","2025/03"
