출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 13:00,2019-10-01 01:00,313006,111401,M,35,HE,717,53806,2.72
2019-09-30 13:00,2019-10-01 01:20,320110,111336,M,45,WE,735,78276,3.17
2019-09-30 13:00,2019-10-01 05:20,360446,110260,F,65,EE,984,281985,9.36
2019-09-30 13:00,2019-10-01 08:40,330876,111246,M,55,EE,1176,78332,3.31
2019-09-30 13:00,2019-10-01 09:00,111184,370296,M,50,EE,1203,275068,3.31
2019-09-30 13:00,2019-10-01 12:20,111143,320133,M,50,EE,1410,87728,3.29
2019-09-30 13:20,2019-10-01 00:20,111365,340140,F,20,HE,651,66102,2.19
2019-09-30 13:20,2019-10-01 02:00,230027,111525,F,25,HW,759,51662,2.01
2019-09-30 13:20,2019-10-01 06:20,320650,111649,M,55,EE,1024,67559,3.30
2019-09-30 13:20,2019-10-01 07:20,330470,110894,M,35,EE,1087,99119,2.72
2019-09-30 13:20,2019-10-01 08:20,320107,111510,M,25,EW,1143,75331,2.26
2019-09-30 13:20,2019-10-01 08:40,380861,111602,M,55,EW,1154,295239,3.27
2019-09-30 13:20,2019-10-01 11:00,111297,313120,F,60,EE,1299,68696,3.75
2019-09-30 13:20,2019-10-01 11:20,111621,340116,F,20,EE,1329,77508,2.20
2019-09-30 13:20,2019-10-01 12:00,111571,330831,M,35,EE,1355,85928,2.72
2019-09-30 13:20,2019-10-01 12:00,370511,111563,F,25,EW,1356,175892,2.05
2019-09-30 13:40,2019-10-01 00:40,340452,111536,F,35,EE,666,140155,3.01
2019-09-30 13:40,2019-10-01 01:00,250321,110613,M,35,EH,691,145288,2.73
2019-09-30 13:40,2019-10-01 01:20,111460,360901,F,15,EE,689,313562,4.09
2019-09-30 13:40,2019-10-01 01:20,312439,110077,M,35,EH,689,37644,2.64
2019-09-30 13:40,2019-10-01 02:00,110087,311525,M,55,EE,735,50111,3.30
2019-09-30 13:40,2019-10-01 06:40,312076,111320,M,55,EH,1021,60953,3.28
2019-09-30 13:40,2019-10-01 08:00,111050,380046,M,40,EH,1105,289968,3.00
2019-09-30 13:40,2019-10-01 08:20,220220,111141,M,35,EW,1107,231770,2.72
2019-09-30 13:40,2019-10-01 09:20,330710,110508,M,50,EE,1196,86859,3.30
2019-09-30 13:40,2019-10-01 09:20,340756,110284,M,20,EE,1194,157825,2.71
2019-09-30 13:40,2019-10-01 09:40,320498,111457,F,60,EW,1211,155251,3.80
2019-09-30 13:40,2019-10-01 11:40,371097,111359,M,60,HE,1318,146338,3.54
2019-09-30 13:40,2019-10-01 13:20,111621,371195,M,45,EE,1413,245225,3.17
2019-09-30 14:00,2019-10-01 00:40,111387,312556,M,40,WH,642,39494,3.01
2019-09-30 14:00,2019-10-01 00:40,230027,110982,M,30,WH,641,38120,2.37
2019-09-30 14:00,2019-10-01 01:00,111601,240471,M,55,EE,651,255160,3.29
2019-09-30 14:00,2019-10-01 07:00,311829,111214,M,50,EE,1012,52016,3.30
2019-09-30 14:00,2019-10-01 09:20,111595,320586,F,35,EE,1162,74141,3.03
2019-09-30 14:00,2019-10-01 09:20,330769,110026,F,50,EE,1159,119703,3.11
2019-09-30 14:00,2019-10-01 12:00,380364,110047,M,50,EE,1329,307652,3.32
2019-09-30 14:00,2019-10-01 12:20,321057,110181,F,55,EE,1326,141431,3.22
2019-09-30 14:00,2019-10-01 12:20,350543,111804,F,60,EE,1346,211008,3.80
2019-09-30 14:00,2019-10-01 12:40,340601,110042,M,55,EE,1360,89522,3.30
2019-09-30 14:00,2019-10-01 13:00,111265,341330,M,20,EE,1381,97417,2.71
2019-09-30 14:00,2019-10-01 13:20,370071,111577,M,30,EE,1404,263296,2.38
2019-09-30 14:20,2019-10-01 00:00,110044,313023,M,65,HW,578,39563,4.00
2019-09-30 14:20,2019-10-01 00:00,110643,110479,M,45,EH,575,3209,3.18
