해당일,시간대,압구정로11길,잠원로상단,잠원로하단
20240318,0,21.0,27.666666666666668,26.5
20240318,1,21.0,32.375,19.125
20240318,2,21.0,21.625,25.875
20240318,3,21.0,30.75,15.5
20240318,4,21.0,29.875,17.5
20240318,5,21.0,26.833333333333332,20.666666666666668
20240318,6,21.0,19.142857142857142,19.142857142857142
20240318,7,21.0,23.142857142857142,24.571428571428573
20240318,8,21.0,22.857142857142858,25.0
20240318,9,21.0,26.142857142857142,24.142857142857142
20240318,10,21.0,25.0,24.0
20240318,11,21.0,25.625,23.5
20240318,12,21.0,28.125,22.375
20240318,13,20.8125,27.5,22.375
20240318,14,19.5,27.5,24.0
20240318,15,19.5,26.333333333333332,24.833333333333332
20240318,16,20.142857142857142,27.428571428571427,24.714285714285715
20240318,17,21.0,26.714285714285715,22.285714285714285
20240318,18,21.0,26.857142857142858,21.285714285714285
20240318,19,21.0,30.285714285714285,20.0
20240318,20,21.0,30.25,21.375
20240318,21,20.4375,28.125,20.875
20240318,22,19.5,23.375,24.875
20240318,23,19.5,20.0,26.0
20240319,0,20.375,23.833333333333332,22.166666666666668
20240319,1,21.0,25.25,18.125
20240319,2,21.0,28.875,18.375
20240319,3,21.0,35.125,16.375
20240319,4,21.0,31.625,17.0
20240319,5,21.0,28.083333333333332,21.583333333333332
20240319,6,21.0,23.857142857142858,17.714285714285715
20240319,7,21.0,27.142857142857142,21.571428571428573
20240319,8,21.0,25.428571428571427,24.142857142857142
20240319,9,21.0,29.285714285714285,21.285714285714285
20240319,10,21.0,25.5,23.875
20240319,11,21.0,25.25,23.75
20240319,12,21.0,27.0,23.25
20240319,13,21.0,30.25,22.375
20240319,14,21.0,27.375,23.25
20240319,15,20.0,24.916666666666668,22.666666666666668
20240319,16,20.0,29.571428571428573,22.714285714285715
20240319,17,20.571428571428573,27.714285714285715,21.571428571428573
20240319,18,21.0,27.571428571428573,19.571428571428573
20240319,19,21.0,31.142857142857142,19.285714285714285
20240319,20,21.0,30.75,21.75
20240319,21,20.375,26.875,23.375
20240319,22,20.0,20.625,23.75
20240319,23,20.0,20.75,25.25
20240320,0,20.0,21.833333333333332,22.583333333333332
20240320,1,20.0,19.875,26.125
20240320,2,20.0,24.875,20.375
20240320,3,20.0,29.125,22.5
20240320,4,20.0,28.125,19.5
20240320,5,20.0,22.75,29.25
20240320,6,20.0,20.428571428571427,20.0
20240320,7,20.0,23.428571428571427,22.0
20240320,8,20.0,27.428571428571427,22.714285714285715
20240320,9,20.0,28.0,23.0
20240320,10,20.0,28.75,23.5
20240320,11,20.0,26.625,22.875
20240320,12,20.0,26.875,23.375
20240320,13,20.125,26.625,22.5
20240320,14,21.75,27.625,22.125
20240320,15,22.5,27.833333333333332,22.833333333333332
20240320,16,27.142857142857142,27.0,22.285714285714285
20240320,17,29.642857142857142,26.857142857142858,21.0
20240320,18,20.928571428571427,28.0,21.142857142857142
20240320,19,21.5,26.714285714285715,20.714285714285715
20240320,20,21.5,28.25,20.0
20240320,21,22.625,26.75,20.5
20240320,22,23.0,23.0,24.625
20240320,23,23.0,23.875,23.875
20240321,0,23.0,26.583333333333332,19.916666666666668
20240321,1,23.0,21.75,19.625
20240321,2,23.0,30.75,19.625
20240321,3,23.0,28.375,30.375
20240321,4,23.0,33.875,19.375
20240321,5,23.0,25.916666666666668,21.083333333333332
20240321,6,23.0,24.714285714285715,14.714285714285714
20240321,7,23.0,26.428571428571427,20.571428571428573
20240321,8,23.0,23.0,19.714285714285715
20240321,9,23.0,24.714285714285715,21.714285714285715
20240321,10,23.0,27.375,22.875
20240321,11,23.0,22.875,24.125
20240321,12,22.75,23.875,23.375
20240321,13,21.0,24.25,23.5
20240321,14,20.625,23.0,22.75
20240321,15,19.5,24.333333333333332,22.666666666666668
20240321,16,19.5,27.285714285714285,22.571428571428573
20240321,17,20.071428571428573,28.428571428571427,20.714285714285715
20240321,18,21.285714285714285,27.142857142857142,18.714285714285715
20240321,19,21.0,31.285714285714285,19.285714285714285
20240321,20,21.0,34.0,20.25
20240321,21,21.0,26.25,22.5
20240321,22,20.5625,24.125,24.375
20240321,23,21.875,23.375,25.125
20240322,0,19.5,28.25,24.083333333333332
20240322,1,20.4375,26.125,22.75
20240322,2,22.3125,28.25,20.875
20240322,3,19.5,32.625,22.625
20240322,4,19.5,31.25,18.5
20240322,5,19.5,24.333333333333332,24.083333333333332
20240322,6,19.5,28.428571428571427,25.714285714285715
20240322,7,19.714285714285715,29.857142857142858,21.857142857142858
20240322,8,21.0,28.0,22.428571428571427
20240322,9,21.0,26.285714285714285,22.428571428571427
20240322,10,21.0,24.75,22.75
20240322,11,21.0,23.75,23.0
20240322,12,21.0,27.25,23.125
20240322,13,21.0,28.75,22.25
20240322,14,21.25,24.0,22.0
20240322,15,21.833333333333332,25.5,22.0
20240322,16,22.142857142857142,24.0,20.714285714285715
20240322,17,23.0,22.714285714285715,19.0
20240322,18,21.571428571428573,22.285714285714285,17.857142857142858
20240322,19,21.0,24.428571428571427,19.0
20240322,20,25.5,27.5,19.375
20240322,21,27.0,26.125,20.125
20240322,22,27.0,21.25,26.5
20240322,23,27.0,21.25,25.125
20240323,0,22.0,24.083333333333332,30.833333333333332
20240323,1,28.125,27.875,28.875
20240323,2,31.0,30.125,22.5
20240323,3,31.0,23.875,26.0
20240323,4,31.0,27.125,26.5
20240323,5,31.0,26.25,21.25
20240323,6,31.0,24.714285714285715,21.428571428571427
20240323,7,31.0,22.0,31.0
20240323,8,31.0,22.428571428571427,25.285714285714285
20240323,9,31.0,22.142857142857142,21.571428571428573
20240323,10,29.6875,22.125,18.875
20240323,11,20.5,21.5,20.375
20240323,12,20.5,22.375,23.25
20240323,13,20.5,24.875,23.25
20240323,14,21.0,24.75,21.875
20240323,15,21.041666666666668,23.416666666666668,23.666666666666668
20240323,16,20.142857142857142,26.142857142857142,23.714285714285715
20240323,17,19.5,26.0,23.285714285714285
20240323,18,19.5,25.714285714285715,24.571428571428573
20240323,19,20.214285714285715,29.428571428571427,24.285714285714285
20240323,20,20.25,29.0,21.375
20240323,21,20.625,25.5,22.75
20240323,22,22.5,25.625,23.5
20240323,23,19.75,26.0,25.5
20240324,0,21.5,28.416666666666668,28.833333333333332
20240324,1,21.5,24.75,21.875
20240324,2,21.5,30.125,23.75
20240324,3,19.5,33.0,29.375
20240324,4,19.5,24.75,28.5
20240324,5,20.25,25.833333333333332,18.5
