해당일,시간대,압구정로11길,잠원로상단,잠원로하단
20240601,0,21.0,23.416666666666668,25.166666666666668
20240601,1,21.0,25.25,21.875
20240601,2,21.0,29.375,24.375
20240601,3,21.0,28.625,32.0
20240601,4,21.0,28.625,25.625
20240601,5,21.0,29.916666666666668,23.333333333333332
20240601,6,21.0,22.857142857142858,19.714285714285715
20240601,7,21.0,15.714285714285714,25.428571428571427
20240601,8,21.0,20.714285714285715,24.0
20240601,9,21.0,19.142857142857142,21.142857142857142
20240601,10,21.0,19.625,20.375
20240601,11,21.0,25.125,21.125
20240601,12,21.0,24.875,22.875
20240601,13,21.0,22.125,22.375
20240601,14,21.0,23.5,23.5
20240601,15,21.0,23.916666666666668,22.833333333333332
20240601,16,21.0,26.0,22.714285714285715
20240601,17,21.0,27.428571428571427,20.571428571428573
20240601,18,21.0,26.857142857142858,23.571428571428573
20240601,19,21.0,28.857142857142858,26.142857142857142
20240601,20,21.0,25.5,23.125
20240601,21,21.0,21.25,23.5
20240601,22,21.0,24.25,24.875
20240601,23,21.0,21.25,25.0
20240602,0,21.0,26.666666666666668,26.083333333333332
20240602,1,21.0,28.75,25.375
20240602,2,21.0,24.5,23.5
20240602,3,21.0,24.25,15.875
20240602,4,21.0,28.0,19.75
20240602,5,21.0,26.5,17.25
20240602,6,21.0,28.142857142857142,20.571428571428573
20240602,7,21.0,20.714285714285715,19.857142857142858
20240602,8,21.0,23.285714285714285,24.0
20240602,9,21.0,21.857142857142858,22.0
20240602,10,21.0,21.625,29.0
20240602,11,21.0,24.5,25.75
20240602,12,21.0,26.75,22.625
20240602,13,21.0,28.125,23.625
20240602,14,21.0,26.25,22.0
20240602,15,21.0,26.75,22.5
20240602,16,21.0,29.142857142857142,21.571428571428573
20240602,17,21.0,29.142857142857142,23.0
20240602,18,21.0,25.571428571428573,22.571428571428573
20240602,19,20.285714285714285,32.857142857142854,24.428571428571427
20240602,20,20.125,27.125,23.5
20240602,21,21.25,21.875,25.875
20240602,22,22.0,22.25,25.125
20240602,23,22.0,25.0,30.0
20240603,0,22.0,28.416666666666668,26.416666666666668
20240603,1,22.0,31.75,23.0
20240603,2,22.0,27.75,25.5
20240603,3,22.0,28.25,20.0
20240603,4,22.0,25.625,21.0
20240603,5,22.0,21.166666666666668,27.583333333333332
20240603,6,22.0,24.857142857142858,21.285714285714285
20240603,7,22.0,23.0,21.714285714285715
20240603,8,22.0,29.571428571428573,23.285714285714285
20240603,9,22.0,26.714285714285715,20.571428571428573
20240603,10,22.0,26.0,22.125
20240603,11,22.0,26.125,24.125
20240603,12,22.0,25.75,24.625
20240603,13,22.0,23.875,24.5
20240603,14,22.0,26.0,24.625
20240603,15,22.0,27.0,24.25
20240603,16,21.285714285714285,25.285714285714285,22.857142857142858
20240603,17,19.5,25.285714285714285,20.714285714285715
20240603,18,19.5,27.428571428571427,19.571428571428573
20240603,19,19.5,26.0,20.571428571428573
20240603,20,19.6875,30.375,21.0
20240603,21,21.0,23.5,21.875
20240603,22,21.0,18.25,25.125
20240603,23,21.0,26.875,26.375
20240604,0,21.0,27.083333333333332,25.416666666666668
20240604,1,21.0,25.375,20.25
20240604,2,21.0,25.375,22.625
20240604,3,21.0,25.625,23.0
20240604,4,21.0,31.0,18.125
20240604,5,21.0,23.583333333333332,24.416666666666668
20240604,6,21.0,14.571428571428571,23.428571428571427
20240604,7,21.0,24.857142857142858,22.571428571428573
20240604,8,21.0,23.285714285714285,23.571428571428573
20240604,9,21.0,23.142857142857142,20.0
20240604,10,21.0,24.125,21.125
20240604,11,21.0,26.5,22.375
20240604,12,21.0,27.375,23.5
20240604,13,21.0,26.125,26.0
20240604,14,21.0,25.625,23.625
20240604,15,21.0,23.75,23.833333333333332
20240604,16,21.0,25.285714285714285,22.857142857142858
20240604,17,21.0,26.714285714285715,21.285714285714285
20240604,18,21.0,25.714285714285715,18.571428571428573
20240604,19,21.0,33.57142857142857,19.571428571428573
20240604,20,21.0,31.125,21.25
20240604,21,21.0,25.0,22.875
20240604,22,21.0,21.5,23.375
20240604,23,21.0,23.375,22.25
20240605,0,21.0,25.833333333333332,21.0
20240605,1,21.0,25.125,22.75
20240605,2,21.0,26.0,22.875
20240605,3,21.0,24.375,25.25
20240605,4,21.0,33.125,21.625
20240605,5,21.0,26.083333333333332,21.416666666666668
20240605,6,21.0,25.285714285714285,21.714285714285715
20240605,7,21.0,25.0,21.857142857142858
20240605,8,21.0,25.857142857142858,22.0
20240605,9,21.0,26.142857142857142,20.142857142857142
20240605,10,21.0,23.75,18.875
20240605,11,20.25,22.75,22.5
20240605,12,21.0,25.375,23.75
20240605,13,21.0,26.0,23.5
20240605,14,21.0,23.75,22.75
20240605,15,21.0,24.333333333333332,23.25
20240605,16,21.0,18.714285714285715,23.714285714285715
20240605,17,21.0,22.285714285714285,20.142857142857142
20240605,18,21.0,18.142857142857142,18.142857142857142
20240605,19,31.285714285714285,27.857142857142858,18.142857142857142
20240605,20,39.0,30.625,19.375
20240605,21,25.0,28.875,20.75
20240605,22,21.5,22.125,21.5
20240605,23,20.0,20.375,27.125
20240606,0,20.0,23.333333333333332,26.833333333333332
20240606,1,20.0,21.875,28.125
20240606,2,20.0,22.375,25.25
20240606,3,20.0,30.25,21.125
20240606,4,20.0,24.75,18.0
20240606,5,20.0,31.416666666666668,22.5
20240606,6,20.0,23.714285714285715,24.857142857142858
20240606,7,20.0,22.857142857142858,19.857142857142858
20240606,8,20.0,21.857142857142858,21.0
20240606,9,20.0,23.285714285714285,20.714285714285715
20240606,10,20.0,24.25,23.125
20240606,11,20.0,22.375,25.0
20240606,12,20.0,26.75,23.0
20240606,13,20.0,22.5,26.375
20240606,14,20.5,28.625,23.0
20240606,15,29.166666666666668,28.833333333333332,24.083333333333332
20240606,16,35.0,30.285714285714285,23.285714285714285
20240606,17,35.0,26.0,24.428571428571427
20240606,18,35.0,22.142857142857142,24.285714285714285
20240606,19,35.0,27.0,19.428571428571427
20240606,20,31.5,22.875,21.5
20240606,21,21.0,18.625,22.625
20240606,22,21.0,26.75,23.875
20240606,23,21.0,26.625,24.25
20240607,0,21.0,27.916666666666668,23.0
20240607,1,19.6875,28.75,20.25
20240607,2,19.5,24.375,23.875
20240607,3,19.5,24.375,23.75
20240607,4,19.5,32.5,28.125
20240607,5,19.5,22.25,19.416666666666668
20240607,6,19.5,25.285714285714285,28.857142857142858
20240607,7,19.5,25.285714285714285,21.714285714285715
20240607,8,19.5,26.428571428571427,22.285714285714285
20240607,9,19.5,24.714285714285715,20.571428571428573
20240607,10,19.5,24.125,21.125
20240607,11,19.5,24.625,22.125
20240607,12,19.5,22.0,22.0
20240607,13,19.5,25.125,23.5
20240607,14,19.5,27.875,22.75
20240607,15,19.5,26.333333333333332,21.916666666666668
20240607,16,19.5,24.0,21.0
20240607,17,19.5,26.142857142857142,18.857142857142858
20240607,18,19.5,28.714285714285715,18.857142857142858
20240607,19,19.5,25.714285714285715,20.0
20240607,20,19.5,31.5,20.75
20240607,21,20.625,22.5,22.0
20240607,22,21.0,22.125,24.5
20240607,23,21.0,22.5,25.125
20240608,0,21.0,21.25,23.416666666666668
20240608,1,21.0,25.375,24.875
20240608,2,21.0,30.75,22.875
20240608,3,21.0,19.25,23.625
20240608,4,21.0,19.5,17.375
20240608,5,21.0,23.0,23.166666666666668
20240608,6,21.0,23.428571428571427,22.285714285714285
20240608,7,21.0,18.0,22.428571428571427
20240608,8,21.0,20.285714285714285,24.571428571428573
20240608,9,21.0,19.571428571428573,23.428571428571427
20240608,10,21.0,20.0,20.375
20240608,11,21.0,23.25,21.125
20240608,12,21.0,24.625,22.75
20240608,13,21.0,24.125,23.875
20240608,14,21.0,24.875,24.125
20240608,15,21.0,25.583333333333332,23.666666666666668
20240608,16,21.0,26.0,24.0
20240608,17,21.0,27.285714285714285,24.857142857142858
20240608,18,21.0,27.428571428571427,23.571428571428573
20240608,19,21.0,32.0,23.142857142857142
20240608,20,21.0,25.5,23.625
20240608,21,21.0,21.875,22.0
20240608,22,21.0,25.125,23.25
20240608,23,21.0,26.125,27.0
20240609,0,21.0,26.25,27.083333333333332
20240609,1,21.0,26.875,28.5
20240609,2,21.0,27.0,22.125
20240609,3,21.0,28.0,22.5
20240609,4,21.0,24.875,20.75
20240609,5,21.0,26.416666666666668,22.666666666666668
20240609,6,20.142857142857142,25.428571428571427,21.571428571428573
20240609,7,19.5,21.285714285714285,22.142857142857142
20240609,8,19.5,23.571428571428573,22.857142857142858
