"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-008","여의도5주차장","105399","27617553","2022"
"PLT-004","이촌2주차장","118520","8710889","2022"
"PLT-001","강서1주차장","72474","5103310","2022"
"PLT-011","잠실1,2,3,4주차장","906456","61243055","2022"
"PLT-009","반포2,3주차장","901967","70811621","2022"
"PLT-005","뚝섬4주차장","231614","21121988","2022"
"PLT-004","이촌3,4주차장","313186","25946726","2022"
"PLT-010","잠원1-6주차장","145150","12985214","2022"
"PLT-011","잠실4주차장","95535","5559142","2022"
"PLT-003","망원2,3주차장","367281","33141583","2022"
"PLT-008","여의도1주차장","941300","106877353","2022"
"PLT-010","잠원1주차장","139059","9723586","2022"
"PLT-007","양화1주차장","90490","10095801","2022"
"PLT-007","양화2주차장","21387","2023374","2022"
"PLT-009","반포1주차장","309807","15748687","2022"
"PLT-008","여의도2주차장","410452","54282459","2021"
"PLT-008","여의도3주차장","382308","95941208","2021"
"PLT-005","뚝섬4주차장","237460","20115933","2021"
"PLT-008","여의도1주차장","920460","101557945","2021"
"PLT-003","망원1주차장","124077","9307099","2021"
"PLT-010","잠원1-6주차장","1092811","89564446","2021"
"PLT-006","광나루1,2주차장","256622","19020032","2021"
"PLT-008","여의도4주차장","59622","16920525","2021"
"PLT-007","양화2주차장","24548","2026000","2021"
"PLT-006","광나루3주차장","246440","13186294","2021"
"PLT-004","이촌1주차장","33017","2009162","2021"
"PLT-007","양화1주차장","113998","10166108","2021"
"PLT-008","여의도5주차장","101735","29670386","2021"
"PLT-011","잠실1,2,3,4주차장","1112055","67733565","2021"
"PLT-004","이촌2주차장","120971","8471992","2021"
"PLT-004","이촌3,4주차장","379417","29381111","2021"
"PLT-005","뚝섬2주차장","279273","28691144","2021"
"PLT-007","양화3,4,5주차장","353890","26002893","2021"
"PLT-009","반포2,3주차장","911975","61416321","2021"
"PLT-001","강서1주차장","80217","5959306","2021"
"PLT-002","난지1,2,3주차장","654736","34675416","2021"
"PLT-003","망원2,3주차장","292111","24930539","2021"
"PLT-005","뚝섬1주차장","76495","5861107","2021"
"PLT-005","뚝섬3주차장","139209","11279802","2021"
"PLT-009","반포1주차장","341472","19377434","2021"
"PLT-003","망원1주차장","101665","7932601","2020"
"PLT-007","양화3,4,5주차장","329016","30359789","2020"
"PLT-009","반포1주차장","364872","22184236","2020"
"PLT-004","이촌3,4주차장","351688","26990815","2020"
"PLT-008","여의도2주차장","360254","44231862","2020"
"PLT-004","이촌1주차장","41218","2386957","2020"
"PLT-009","반포2,3주차장","962273","55108731","2020"
"PLT-004","이촌2주차장","114914","8169341","2020"
"PLT-006","광나루3주차장","247224","18322954","2020"
"PLT-007","양화1주차장","97523","11220280","2020"
"PLT-008","여의도3주차장","370685","88436558","2020"
"PLT-005","뚝섬4주차장","214178","19275672","2020"
"PLT-011","잠실1,2,3,4주차장","991753","64625145","2020"
"PLT-001","강서1주차장","88025","4973861","2020"
"PLT-005","뚝섬2주차장","291482","32208757","2020"
"PLT-005","뚝섬1주차장","82595","7956015","2020"
"PLT-010","잠원1-6주차장","1010222","78509422","2020"
"PLT-008","여의도5주차장","93913","26426384","2020"
"PLT-003","망원2,3주차장","227063","18406066","2020"
"PLT-008","여의도4주차장","56133","15892893","2020"
"PLT-007","양화2주차장","23292","2140314","2020"
"PLT-008","여의도1주차장","721130","83182296","2020"
"PLT-002","난지1,2,3주차장","577343","36605927","2020"
"PLT-005","뚝섬3주차장","120737","10888783","2020"
"PLT-006","광나루1,2주차장","299661","25326629","2020"
