대여소_ID,주소1,주소2,위도,경도
ST-2342,서울특별시 성동구 천호대로78길 9,,37.563709,127.05645
ST-2341,서울특별시 성동구 왕십리로 83-21 아크로 서울포레스트,,37.545097,127.044266
ST-2340,서울특별시 성동구 마장동 336-11,,37.563396,127.04187
ST-234,서울특별시 성동구 마장동 610,청계천 박물관 앞,37.571526,127.035355
ST-2339,서울특별시 성동구 행당동 379-1,,37.55653,127.039131
ST-2338,서울특별시 성동구 금호동2가 1-5,,37.556107,127.019783
ST-2337,서울특별시 성동구 왕십리로 410 센트라스,,37.566818,127.029152
ST-2336,서울특별시 성동구 뚝섬로1길 63 영창디지털타워,,37.546951,127.047562
ST-2335,서울특별시 성동구 마장로 302,,37.565979,127.043114
ST-2334,서울특별시 성동구 성수동1가 719,,37.541958,127.04277
ST-2333,서울특별시 성동구 자동차시장길 11 대승모터스,,37.559799,127.056328
ST-2332,서울특별시 성동구 금호로 15 서울숲푸르지오아파트,,37.544041,127.023201
ST-2331,서울특별시 성동구 동일로 265 건영아파트상가,,37.555141,127.071106
ST-2330,서울특별시 성동구 뚝섬로1길 63 영창디지털타워,,37.546959,127.047668
ST-2329,서울특별시 성동구 하왕십리동 903-1,,37.564262,127.029327
ST-2328,서울특별시 성동구 행당동 64,,37.555611,127.043274
ST-2327,서울특별시 성동구 행당동 33,,37.55658,127.043358
ST-2326,서울특별시 성동구 왕십리로 190-1 디자인노점,,37.554539,127.043777
ST-1749,서울특별시 성동구 청계천로 432,윤수네집,37.570896,127.024956
ST-1747,서울특별시 성동구 청계천로 540,서울시설공단,37.57164,127.03566
ST-1659,서울특별시 성동구 광나루로 130,서울숲 IT캐슬,37.550892,127.044762
ST-1618,서울특별시 성동구 무학봉길 35,왕십리KCC스위첸아파트,37.56068,127.026779
ST-1617,서울특별시 성동구 난계로 20,논골사거리(금호도서관 입구),37.554779,127.024841
ST-1616,서울특별시 성동구 무학봉길 35,왕십리자이아파트 후문(삼거리),37.560146,127.02636
ST-1601,서울특별시 성동구 난계로 100,왕십리 자이아파트 103동 인근,37.56179,127.024391
ST-1600,서울특별시 성동구 상원길 76,성수동아그린아파트,37.55093,127.04834
ST-1599,서울특별시 성동구 금호로 30,독서당 인문아카데미센터,37.546089,127.02507
ST-1377,서울특별시 성동구 사근동 241-2,,37.561028,127.049522
ST-1336,서울특별시 성동구 용답길 86,용답역 1번 출구,37.562607,127.051308
ST-1199,서울특별시 성동구 성수동1가 678-1,서울숲 관리사무소,37.542816,127.042084
ST-1198,서울특별시 성동구 상왕십리동 350-1,왕십리교회옆,37.566261,127.023697
ST-1197,서울특별시 성동구 하왕십리동 860-1,상왕십리역 1번출구,37.56461,127.029198
ST-1195,서울특별시 성동구 고산자로 123,응봉동 3-10,37.55125,127.035103
ST-115,서울특별시 성동구 성수이로24길 38,센추리프라자,37.544006,127.062149
ST-112,서울특별시 성동구 아차산로 171,성수사거리 버스정류장 앞,37.54258,127.063309
ST-111,서울특별시 성동구 아차산로 18,뚝섬역 5번 출구 정류소 옆,37.546307,127.049805
ST-109,서울특별시 성동구 아차산로 18,뚝섬역 1번 출구 옆,37.548561,127.045006
ST-108,서울특별시 성동구 왕십리로 지하77,서울숲역 4번 출구 옆,37.544582,127.044609
ST-107,서울특별시 성동구 왕십리로11길 9,서울숲남문 버스정류소 옆,37.541222,127.0438
ST-106,서울특별시 성동구 뚝섬로 379,이마트 버스정류소 옆,37.539654,127.052589
ST-105,서울특별시 성동구 성수이로 118 성수아카데미타워,,37.54517,127.057571
ST-104,서울특별시 성동구 성수이로 147,아이에스비즈타워 앞,37.548203,127.057114
ST-103,서울특별시 성동구 광나루로 249,송정금호어울림 아파트 앞,37.549061,127.057793
