거래일,아파트,전용면적,층,건축년도,거래금액,주소
2018-01-19,태강아파트,59.38,8.0,1999-01-01,34000,서울특별시 노원구
2018-01-19,시영3차(라이프)아파트,34.44,13.0,1994-01-01,19300,서울특별시 노원구
2018-01-20,비선아파트,48.6,9.0,1999-01-01,27600,서울특별시 노원구
2018-01-20,신성미소지움아파트,84.99600000000002,4.0,2004-01-01,40000,서울특별시 노원구
2018-01-20,광덕파크빌아파트,84.69,15.0,2003-01-01,33000,서울특별시 노원구
2018-01-20,현대아파트,61.94,2.0,1984-01-01,34000,서울특별시 노원구
2018-01-20,공릉동 한보에센시티아파트,59.4,1.0,2000-01-01,24500,서울특별시 노원구
2018-01-20,태강아파트,49.6,10.0,1999-01-01,28800,서울특별시 노원구
2018-01-20,태릉우성아파트,84.97,9.0,1985-01-01,42500,서울특별시 노원구
2018-01-20,우방아파트,84.881,2.0,2000-01-01,40800,서울특별시 노원구
2018-01-20,신명아파트,84.55,6.0,1995-01-01,29800,서울특별시 노원구
2018-01-20,비선아파트,59.74,10.0,1999-01-01,36000,서울특별시 노원구
2018-01-21,풍림아파트A,84.99,6.0,2001-01-01,46500,서울특별시 노원구
2018-01-21,효성아파트,84.66,2.0,1995-01-01,45250,서울특별시 노원구
2018-01-22,삼익아파트,51.03,9.0,1995-01-01,25700,서울특별시 노원구
2018-01-22,서진프라자아파트,93.03,3.0,1997-01-01,28200,서울특별시 노원구
2018-01-22,풍림아파트B,31.32,18.0,2001-01-01,19600,서울특별시 노원구
2018-01-22,태강아파트,59.34,14.0,1999-01-01,35200,서울특별시 노원구
2018-01-23,동부아파트,84.79,4.0,1996-01-01,37000,서울특별시 노원구
2018-01-23,대주파크빌아파트,81.12,3.0,2003-01-01,37000,서울특별시 노원구
2018-01-23,비선아파트,49.28,8.0,1999-01-01,27000,서울특별시 노원구
2018-01-23,비선아파트,59.87,14.0,1999-01-01,34800,서울특별시 노원구
2018-01-24,대명아파트,62.04,2.0,1989-01-01,26500,서울특별시 노원구
2018-01-24,공릉동 한보에센시티아파트,84.93,5.0,2000-01-01,39500,서울특별시 노원구
2018-01-24,시영3차(라이프)아파트,39.6,10.0,1994-01-01,22400,서울특별시 노원구
2018-01-24,비선아파트,59.87,7.0,1999-01-01,35000,서울특별시 노원구
2018-01-25,시영2단지(라이프)아파트,34.44,10.0,1994-01-01,19200,서울특별시 노원구
2018-01-25,공릉동 한보에센시티아파트,59.4,9.0,2000-01-01,31000,서울특별시 노원구
2018-01-25,풍림아파트A,114.78,16.0,2001-01-01,58000,서울특별시 노원구
2018-01-25,시영3차(라이프)아파트,49.5,11.0,1994-01-01,27300,서울특별시 노원구
2018-01-26,동부아파트,84.79,12.0,1996-01-01,38500,서울특별시 노원구
2018-01-26,태강아파트,59.38,15.0,1999-01-01,34500,서울특별시 노원구
2018-01-26,태강아파트,59.38,11.0,1999-01-01,34000,서울특별시 노원구
2018-01-26,삼익4단지아파트,59.04,12.0,1994-01-01,33000,서울특별시 노원구
2018-01-27,동신아파트,84.97,3.0,1999-01-01,40800,서울특별시 노원구
2018-01-27,효성화운트빌아파트,134.914,11.0,2000-01-01,65000,서울특별시 노원구
2018-01-27,효성아파트,84.66,3.0,1995-01-01,45250,서울특별시 노원구
2018-01-27,화랑타운아파트,84.65,8.0,2000-01-01,50850,서울특별시 노원구
2018-01-27,현대아파트,62.27,4.0,1984-01-01,33000,서울특별시 노원구
2018-01-27,풍림아파트A,84.99,4.0,2001-01-01,43300,서울특별시 노원구
2018-01-27,태강아파트,49.6,15.0,1999-01-01,27750,서울특별시 노원구
2018-01-27,청솔아파트8,84.65,14.0,2000-01-01,42900,서울특별시 노원구
2018-01-27,시영3차(라이프)아파트,34.44,2.0,1994-01-01,18700,서울특별시 노원구
2018-01-27,비선아파트,48.6,13.0,1999-01-01,27000,서울특별시 노원구
2018-01-28,효성화운트빌아파트,99.917,6.0,2000-01-01,53700,서울특별시 노원구
2018-01-29,두산힐스빌아파트,84.9,11.0,2000-01-01,45500,서울특별시 노원구
2018-01-29,비콘아파트,84.70700000000002,2.0,2004-01-01,38000,서울특별시 노원구
2018-01-29,태강아파트,59.34,2.0,1999-01-01,33800,서울특별시 노원구
2018-01-29,청솔아파트9,84.85,12.0,2000-01-01,44000,서울특별시 노원구
2018-01-29,신원아파트,84.99,4.0,2000-01-01,35000,서울특별시 노원구
2018-01-30,두산힐스빌아파트,84.9,5.0,2000-01-01,44700,서울특별시 노원구
2018-01-30,노원 프레미어스 엠코,84.0408,27.0,2016-01-01,56800,서울특별시 노원구
2018-01-30,우국리더스빌,49.6,5.0,2006-01-01,26200,서울특별시 노원구
2018-01-30,청우씨티아파트,84.9,4.0,2004-01-01,30800,서울특별시 노원구
2018-01-30,효성아파트,126.78,3.0,1999-01-01,52500,서울특별시 노원구
2018-01-30,풍림아파트A,114.78,11.0,2001-01-01,56000,서울특별시 노원구
2018-01-30,풍림아파트A,84.99,8.0,2001-01-01,48800,서울특별시 노원구
2018-01-30,신도1차아파트,131.7554,16.0,2002-01-01,56500,서울특별시 노원구
2018-01-31,시영2단지(라이프)아파트,34.44,7.0,1994-01-01,19500,서울특별시 노원구
2018-01-31,시영3차(라이프)아파트,39.6,15.0,1994-01-01,22000,서울특별시 노원구
2018-01-31,대동아파트,59.83,5.0,1999-01-01,29200,서울특별시 노원구
2018-01-01,상계주공13(고층),49.94,6.0,1989-01-01,25900,서울특별시 노원구
2018-01-02,동아불암,84.9,5.0,1999-01-01,37500,서울특별시 노원구
2018-01-02,상계주공4(고층),59.2,1.0,1988-01-01,28000,서울특별시 노원구
2018-01-02,상계주공3(고층),84.38,5.0,1987-01-01,57000,서울특별시 노원구
2018-01-02,상계주공2(고층),58.01,12.0,1987-01-01,25000,서울특별시 노원구
2018-01-02,상계주공2(고층),58.01,10.0,1987-01-01,40000,서울특별시 노원구
2018-01-03,벽산,75.03,9.0,1989-01-01,34000,서울특별시 노원구
2018-01-03,보람1단지,54.59,13.0,1988-01-01,28600,서울특별시 노원구
2018-01-03,보람1단지,54.59,13.0,1988-01-01,29000,서울특별시 노원구
2018-01-03,한신2차,45.92,13.0,1988-01-01,20000,서울특별시 노원구
2018-01-04,임광,106.25,7.0,1989-01-01,59600,서울특별시 노원구
2018-01-04,수락리버시티4단지,59.9,8.0,2009-01-01,35500,서울특별시 노원구
2018-01-04,청암1단지,84.8,17.0,2001-01-01,43000,서울특별시 노원구
2018-01-04,한신3차,84.59,5.0,1990-01-01,36000,서울특별시 노원구
2018-01-05,은빛1단지,39.7,7.0,1998-01-01,23000,서울특별시 노원구
2018-01-05,대망드림힐1,84.4909,15.0,2003-01-01,44500,서울특별시 노원구
2018-01-05,상계현대3차,84.98,11.0,1999-01-01,36900,서울특별시 노원구
2018-01-05,상계주공9(고층),41.3,14.0,1988-01-01,27000,서울특별시 노원구
2018-01-05,상계주공9(고층),49.94,5.0,1988-01-01,32500,서울특별시 노원구
2018-01-05,상계주공6(고층),41.3,7.0,1988-01-01,32250,서울특별시 노원구
2018-01-05,상계주공3(고층),58.01,10.0,1987-01-01,41800,서울특별시 노원구
2018-01-05,상계주공12(고층),49.94,9.0,1988-01-01,31900,서울특별시 노원구
2018-01-05,두산,41.85,1.0,1994-01-01,21000,서울특별시 노원구
2018-01-06,극동늘푸른,84.514,12.0,2000-01-01,45000,서울특별시 노원구
2018-01-06,상계주공1(저층),84.41,5.0,1988-01-01,40000,서울특별시 노원구
2018-01-06,대림,93.75,10.0,1988-01-01,57800,서울특별시 노원구
2018-01-06,상계주공9(고층),49.94,12.0,1988-01-01,31900,서울특별시 노원구
2018-01-06,상계주공4(고층),32.39,13.0,1988-01-01,22800,서울특별시 노원구
2018-01-06,상계주공14(고층),49.94,4.0,1989-01-01,31000,서울특별시 노원구
2018-01-06,상계주공12(고층),41.3,5.0,1988-01-01,25900,서울특별시 노원구
2018-01-06,상계주공11(고층),41.3,8.0,1988-01-01,28500,서울특별시 노원구
2018-01-06,상계주공10(고층),45.9,8.0,1988-01-01,29800,서울특별시 노원구
2018-01-06,상계주공10(고층),59.39,4.0,1988-01-01,40000,서울특별시 노원구
2018-01-06,상계주공10(고층),49.94,14.0,1988-01-01,34500,서울특별시 노원구
2018-01-06,두산,84.09,6.0,1994-01-01,37000,서울특별시 노원구
2018-01-08,대동황토방,114.72,19.0,2001-01-01,52000,서울특별시 노원구
2018-01-08,동양엔파트,84.88,12.0,2003-01-01,54400,서울특별시 노원구
2018-01-08,상계대림e편한세상,83.87,4.0,2002-01-01,37900,서울특별시 노원구
2018-01-08,상계주공9(고층),45.55,11.0,1988-01-01,29000,서울특별시 노원구
2018-01-08,상계주공6(고층),58.01,1.0,1988-01-01,35500,서울특별시 노원구
2018-01-08,상계주공4(고층),73.94,6.0,1988-01-01,44750,서울특별시 노원구
2018-01-08,상계주공10(고층),45.77,2.0,1988-01-01,31700,서울특별시 노원구
2018-01-08,보람2단지,79.25,15.0,1988-01-01,37700,서울특별시 노원구
2018-01-08,미라보(성림),60.0,15.0,2006-01-01,26000,서울특별시 노원구
2018-01-09,상계1차중앙하이츠,59.82,19.0,1997-01-01,35400,서울특별시 노원구
2018-01-09,보람1단지,54.59,6.0,1988-01-01,28450,서울특별시 노원구
2018-01-09,청암2단지,49.77,13.0,2001-01-01,26200,서울특별시 노원구
2018-01-09,상계주공9(고층),45.9,15.0,1988-01-01,25950,서울특별시 노원구
2018-01-09,상계주공6(고층),59.2,10.0,1988-01-01,38800,서울특별시 노원구
2018-01-09,상계주공6(고층),58.01,5.0,1988-01-01,42500,서울특별시 노원구
2018-01-09,상계주공4(고층),32.39,8.0,1988-01-01,23400,서울특별시 노원구
2018-01-09,상계주공10(고층),58.01,2.0,1988-01-01,38850,서울특별시 노원구
2018-01-10,동아불암,84.86,1.0,1999-01-01,34930,서울특별시 노원구
2018-01-10,보람1단지,68.99,2.0,1988-01-01,35000,서울특별시 노원구
2018-01-10,보람1단지,54.59,7.0,1988-01-01,29000,서울특별시 노원구
